date,y
2014-04-30,1157
2014-05-01,1118
2014-05-02,1310
2014-05-03,874
2014-05-04,890
2014-05-05,1437
2014-05-06,1263
2014-05-07,1187
2014-05-08,1506
2014-05-09,1448
2014-05-10,1054
2014-05-11,663
2014-05-12,988
2014-05-13,1241
2014-05-14,1207
2014-05-15,1288
2014-05-16,1045
2014-05-17,842
2014-05-18,687
2014-05-19,1136
2014-05-20,1348
2014-05-21,1241
2014-05-22,1164
2014-05-23,1029
2014-05-24,909
2014-05-25,650
2014-05-26,1275
2014-05-27,1203
2014-05-28,1233
2014-05-29,1014
2014-05-30,1040
2014-05-31,825
2014-06-01,593
2014-06-02,875
2014-06-03,1096
2014-06-04,1059
2014-06-05,1105
2014-06-06,949
2014-06-07,652
2014-06-08,546
2014-06-09,762
2014-06-10,1082
2014-06-11,1305
2014-06-12,1232
2014-06-13,1089
2014-06-14,735
2014-06-15,775
2014-06-16,1381
2014-06-17,1320
2014-06-18,1398
2014-06-19,991
2014-06-20,1052
2014-06-21,669
2014-06-22,422
2014-06-23,779
2014-06-24,1150
2014-06-25,1001
2014-06-26,1582
2014-06-27,847
2014-06-28,721
2014-06-29,541
2014-06-30,710
2014-07-01,1649
2014-07-02,919
2014-07-03,1008
2014-07-04,1000
2014-07-05,465
2014-07-06,448
2014-07-07,721
2014-07-08,1030
2014-07-09,915
2014-07-10,870
2014-07-11,795
2014-07-12,667
2014-07-13,487
2014-07-14,741
2014-07-15,1030
2014-07-16,1287
2014-07-17,1061
2014-07-18,971
2014-07-19,549
2014-07-20,509
2014-07-21,1046
2014-07-22,1514
2014-07-23,1655
2014-07-24,1489
2014-07-25,1352
2014-07-26,828
2014-07-27,591
2014-07-28,820
2014-07-29,1409
2014-07-30,1819
2014-07-31,1243
2014-08-01,1157
2014-08-02,626
2014-08-03,437
2014-08-04,842
2014-08-05,1118
2014-08-06,985
2014-08-07,983
2014-08-08,871
2014-08-09,591
2014-08-10,533
2014-08-11,937
2014-08-12,1312
2014-08-13,1412
2014-08-14,1183
2014-08-15,955
2014-08-16,629
2014-08-17,561
2014-08-18,833
2014-08-19,1067
2014-08-20,987
2014-08-21,976
2014-08-22,1218
2014-08-23,853
2014-08-24,432
2014-08-25,869
2014-08-26,1152
2014-08-27,944
2014-08-28,947
2014-08-29,847
2014-08-30,626
2014-08-31,558
2014-09-01,2300
2014-09-02,2469
2014-09-03,1411
2014-09-04,1178
2014-09-05,1111
2014-09-06,641
2014-09-07,867
2014-09-08,1359
2014-09-09,1730
2014-09-10,1529
2014-09-11,1168
2014-09-12,1222
2014-09-13,889
2014-09-14,648
2014-09-15,1023
2014-09-16,1453
2014-09-17,1260
2014-09-18,1190
2014-09-19,1207
2014-09-20,706
2014-09-21,929
2014-09-22,1879
2014-09-23,1579
2014-09-24,1389
2014-09-25,1352
2014-09-26,1118
2014-09-27,944
2014-09-28,734
2014-09-29,1048
2014-09-30,1431
2014-10-01,1296
2014-10-02,1126
2014-10-03,1158
2014-10-04,872
2014-10-05,756
2014-10-06,1221
2014-10-07,1620
2014-10-08,1528
2014-10-09,1486
2014-10-10,1639
2014-10-11,1114
2014-10-12,874
2014-10-13,1161
2014-10-14,1557
2014-10-15,1740
2014-10-16,1598
2014-10-17,1397
2014-10-18,1153
2014-10-19,797
2014-10-20,1320
2014-10-21,1747
2014-10-22,1944
2014-10-23,1664
2014-10-24,1516
2014-10-25,1077
2014-10-26,777
2014-10-27,1139
2014-10-28,1671
2014-10-29,1590
2014-10-30,1491
2014-10-31,1438
2014-11-01,1060
2014-11-02,789
2014-11-03,1270
2014-11-04,1384
2014-11-05,1490
2014-11-06,1554
2014-11-07,1569
2014-11-08,1422
2014-11-09,888
2014-11-10,1276
2014-11-11,1650
2014-11-12,1699
2014-11-13,1464
2014-11-14,1495
2014-11-15,1030
2014-11-16,812
2014-11-17,1231
2014-11-18,1465
2014-11-19,1707
2014-11-20,1678
2014-11-21,1632
2014-11-22,1678
2014-11-23,958
2014-11-24,1529
2014-11-25,2368
2014-11-26,1811
2014-11-27,1558
2014-11-28,1239
2014-11-29,995
2014-11-30,1009
2014-12-01,1313
2014-12-02,1544
2014-12-03,2422
2014-12-04,1621
2014-12-05,1512
2014-12-06,1278
2014-12-07,955
2014-12-08,1384
2014-12-09,2569
2014-12-10,2140
2014-12-11,2235
2014-12-12,1719
2014-12-13,1143
2014-12-14,955
2014-12-15,1412
2014-12-16,1965
2014-12-17,1789
2014-12-18,2198
2014-12-19,1636
2014-12-20,859
2014-12-21,743
2014-12-22,974
2014-12-23,1609
2014-12-24,1165
2014-12-25,848
2014-12-26,1030
2014-12-27,1410
2014-12-28,879
2014-12-29,1259
2014-12-30,1254
2014-12-31,1026
2015-01-01,768
2015-01-02,736
2015-01-03,863
2015-01-04,759
2015-01-05,1071
2015-01-06,1455
2015-01-07,1635
2015-01-08,1537
2015-01-09,1388
2015-01-10,1144
2015-01-11,728
2015-01-12,1335
2015-01-13,1730
2015-01-14,1558
2015-01-15,1571
2015-01-16,1502
2015-01-17,1203
2015-01-18,807
2015-01-19,1138
2015-01-20,1648
2015-01-21,1661
2015-01-22,1743
2015-01-23,1544
2015-01-24,1439
2015-01-25,1269
2015-01-26,1262
2015-01-27,1892
2015-01-28,1687
2015-01-29,1778
2015-01-30,1485
2015-01-31,1428
2015-02-01,1010
2015-02-02,1293
2015-02-03,1941
2015-02-04,1714
2015-02-05,1676
2015-02-06,1591
2015-02-07,1077
2015-02-08,809
2015-02-09,1294
2015-02-10,1715
2015-02-11,1810
2015-02-12,1890
2015-02-13,1690
2015-02-14,989
2015-02-15,783
2015-02-16,1271
2015-02-17,1501
2015-02-18,1613
2015-02-19,1632
2015-02-20,1486
2015-02-21,1338
2015-02-22,862
2015-02-23,1529
2015-02-24,1837
2015-02-25,1948
2015-02-26,1917
2015-02-27,1765
2015-02-28,1261
2015-03-01,895
2015-03-02,1219
2015-03-03,1690
2015-03-04,1660
2015-03-05,1662
2015-03-06,1616
2015-03-07,1245
2015-03-08,931
2015-03-09,1259
2015-03-10,1666
2015-03-11,1782
2015-03-12,2083
2015-03-13,2287
2015-03-14,1247
2015-03-15,1120
2015-03-16,1668
2015-03-17,2006
2015-03-18,2359
2015-03-19,2649
2015-03-20,2006
2015-03-21,1364
2015-03-22,966
2015-03-23,1626
2015-03-24,2001
2015-03-25,1992
2015-03-26,2279
2015-03-27,1850
2015-03-28,1250
2015-03-29,968
2015-03-30,1411
2015-03-31,1833
2015-04-01,1923
2015-04-02,1910
2015-04-03,1486
2015-04-04,1044
2015-04-05,927
2015-04-06,1030
2015-04-07,1965
2015-04-08,1768
2015-04-09,2082
2015-04-10,2063
2015-04-11,1424
2015-04-12,1073
2015-04-13,1664
2015-04-14,1799
2015-04-15,1947
2015-04-16,1839
2015-04-17,1885
2015-04-18,1237
2015-04-19,950
2015-04-20,1636
2015-04-21,1928
2015-04-22,1898
2015-04-23,2323
2015-04-24,1979
2015-04-25,1259
2015-04-26,1158
2015-04-27,1617
2015-04-28,2144
2015-04-29,2028
